id,name,price,expense_date,category
8e07c31b-5074-4a3a-9bd0-1b667959681d,Coffee,5.60,2025-09-23,Food
34fa1476-dd8c-46a5-99e2-f56a41cf4a48,Bose Headphones,569.87,2025-09-11,Ent
1ff67712-d894-44dd-86ef-03b80d8937a9,Meiji Fresh Milk 2L,6.70,2025-10-02,Food
75397108-8e09-47c6-84d8-cea1f0871847,Suvai Idly Dosa Wet Flour 1 Kg,8.00,2025-10-02,Food
4a931eae-69ae-4ed1-b328-5ac639010394,Calvin Klein Hoodie,60.00,2025-10-14,Clothing
0379a6e0-e526-4ca4-8b43-32c9f925ac78,Go Pro Gift,320.00,2024-11-12,Others
47fd348c-af0b-4e0a-8145-527054478aa5,Onion,1.47,2025-10-06,Food
7c052bf6-2c42-4642-a169-399a9af892a8,Meiji Fresh Milk 2L,6.70,2025-10-06,Food
1816c8d0-224a-40fb-b459-b100e061189e,Dashi Go Go,43.67,2025-10-04,Ent
2e159719-c301-445c-a73a-ee6f24235f8d,Greenfiled Fresh Milk Fu,6.05,2025-10-12,Food
9be09571-e604-4504-a76c-f720f33c43dc,Seng Choon Farm Fresh Egg,4.00,2025-10-12,Food
9246205a-bec9-474c-803f-a9068029a52d,Salmon Fillet,6.95,2025-10-12,Food
9c7d4e8a-89bf-48b2-b5b6-1459e28c3acd,Bread,3.10,2025-10-12,Food
624e8a07-02e2-439e-8b4f-11a7e5b35e70,Drinks,20.00,2025-10-04,Ent
00744ac9-badd-4ad7-9d45-96fb33f1eb48,Dandiya,38.00,2025-09-20,Ent
5d052baa-b67a-4086-92ca-e21151ceea3a,Gojek Taxi,10.40,2025-10-14,Travel
01d040f1-5eff-4dbe-82a6-10e602cfc4ae,Tres Keratube Smooth,8.65,2025-10-15,Others
776af61a-6f3f-4e12-8950-242c9034984b,Hooks,2.50,2025-10-15,Misc
